"","Protein_ID","Species","Function","Appearances"
"42","P39726","Yeast","Glycine cleavage system H protein, mitochondrial","10"
"43","Q9LQL0","Arabidopsis","Glycine cleavage system H protein 3, mitochondrial","10"
"44","P31373","Yeast","Cystathionine gamma-lyase",""
"45","P32929","Human","Cystathionine gamma-lyase",""
"46","P34220","Yeast","Deoxyribonuclease Tat-D","12"
"47","Q6P1N9","Human","Deoxyribonuclease TATDN1","12"
"48","Q84TD7","Arabidopsis","At3g52390","12"
"49","F4KDU5","Arabidopsis","Ribosomal protein L4/L1 family",""
"50","P36578","Human","Large ribosomal subunit protein uL4",""
"51","Q9SF40","Arabidopsis","Large ribosomal subunit protein uL4z",""
"52","A0A1I9LLK4","Arabidopsis","Lon protease homolog, mitochondrial","14"
"53","P36775","Yeast","Lon protease homolog, mitochondrial","14"
"54","P36776","Human","Lon protease homolog, mitochondrial","14"
"55","P93655","Arabidopsis","Lon protease homolog 1, mitochondrial","14"
"56","Q9M9L8","Arabidopsis","Lon protease homolog 3, mitochondrial","14"
"57","A0A178VV44","Arabidopsis","UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase","15"
"58","A0A384LHU5","Arabidopsis","Uncharacterized protein","15"
"59","P07286","Yeast","UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase","15"
"60","Q9H3H5","Human","UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase","15"
"61","O15143","Human","Actin-related protein 2/3 complex subunit 1B","16"
"62","O80856","Arabidopsis","Actin-related protein 2/3 complex subunit 1A","16"
"63","P38328","Yeast","Actin-related protein 2/3 complex subunit 1","16"
"64","Q9SJW6","Arabidopsis","Actin-related protein 2/3 complex subunit 1B","16"
"65","P38333","Yeast","Essential nuclear protein 1","17"
"66","Q13895","Human","Bystin","17"
"67","Q8RWS4","Arabidopsis","Bystin","17"
"68","F4K7F6","Arabidopsis","CLP protease regulatory subunit CLPX2, mitochondrial","18"
"69","O76031","Human","ATP-dependent clpX-like chaperone, mitochondrial","18"
"70","P38323","Yeast","ATP-dependent clpX-like chaperone, mitochondrial","18"
"71","Q9FK07","Arabidopsis","CLP protease regulatory subunit CLPX1, mitochondrial","18"
"72","P00546","Yeast","Cyclin-dependent kinase 1","19"
"73","P24100","Arabidopsis","Cyclin-dependent kinase A-1","19"
"74","P24941","Human","Cyclin-dependent kinase 2","19"
"75","Q00526","Human","Cyclin-dependent kinase 3","19"
"76","O75879","Human","Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial","20"
"77","P33893","Yeast","Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial","20"
"78","Q9FV81","Arabidopsis","Glutamyl-tRNA(Gln) amidotransferase subunit B, chloroplastic/mitochondrial","20"
"79","P38138","Yeast","Glucosidase 2 subunit alpha","21"
"80","Q14697","Human","Neutral alpha-glucosidase AB","21"
"81","Q8TET4","Human","Neutral alpha-glucosidase C","21"
"82","Q9FN05","Arabidopsis","Probable glucan 1,3-alpha-glucosidase","21"
"83","P12385","Yeast","Eukaryotic peptide chain release factor subunit 1","22"
"84","P35614","Arabidopsis","Eukaryotic peptide chain release factor subunit 1-3","22"
"85","P62495","Human","Eukaryotic peptide chain release factor subunit 1","22"
"86","Q39097","Arabidopsis","Eukaryotic peptide chain release factor subunit 1-1","22"
"87","Q9LPV8","Arabidopsis","Eukaryotic peptide chain release factor subunit 1-2","22"
"88","P36542","Human","ATP synthase subunit gamma, mitochondrial","23"
"89","P38077","Yeast","ATP synthase subunit gamma, mitochondrial","23"
"90","Q96250","Arabidopsis","ATP synthase subunit gamma, mitochondrial","23"
"91","P38251","Yeast","Replication factor C subunit 5","24"
"92","P40938","Human","Replication factor C subunit 3","24"
"93","Q8VXX4","Arabidopsis","Replication factor C subunit 3","24"
"94","O23627","Arabidopsis","Glycine--tRNA ligase, mitochondrial 1","25, 1083"
"95","P38088","Yeast","Glycine--tRNA ligase 1, mitochondrial","25"
"96","P41250","Human","Glycine--tRNA ligase","25, 1083"
"97","P38071","Yeast","Enoyl-[acyl-carrier-protein] reductase, mitochondrial","26"
"98","Q8LCU7","Arabidopsis","Enoyl-[acyl-carrier-protein] reductase, mitochondrial","26"
"99","Q9BV79","Human","Enoyl-[acyl-carrier-protein] reductase, mitochondrial","26"
"100","P09440","Yeast","C-1-tetrahydrofolate synthase, mitochondrial","27"
"101","P11586","Human","C-1-tetrahydrofolate synthase, cytoplasmic","27, 392"
"102","Q6UB35","Human","Monofunctional C1-tetrahydrofolate synthase, mitochondrial","27, 392"
"103","Q9SPK5","Arabidopsis","Formate--tetrahydrofolate ligase","27, 392"
"104","H0YMM5","Human","Deoxyuridine 5'-triphosphate nucleotidohydrolase","28"
"105","P33317","Yeast","Deoxyuridine 5'-triphosphate nucleotidohydrolase","28"
"106","Q9STG6","Arabidopsis","Deoxyuridine 5'-triphosphate nucleotidohydrolase","28"
"107","O82244","Arabidopsis","Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase","29"
"108","P38179","Yeast","Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase","29"
"109","Q92685","Human","Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase","29"
"110","F4I456","Arabidopsis","Tetratricopeptide repeat (TPR)-like superfamily protein","30"
"111","O95801","Human","Tetratricopeptide repeat protein 4","30"
"112","P33313","Yeast","Hsp70/Hsp90 co-chaperone CNS1","30"
"113","A0A0C4DG89","Human","RNA helicase","31"
"114","P21372","Yeast","Pre-mRNA-processing ATP-dependent RNA helicase PRP5","31"
"115","Q9SF41","Arabidopsis","DEAD-box ATP-dependent RNA helicase 45","31"
"116","A0A178UX92","Arabidopsis","PQ-loop repeat family protein / transmembrane family protein","32, 969"
"117","A0A1P8AYW6","Arabidopsis","PQ-loop repeat family protein / transmembrane family protein","32, 969"
"118","A0A5S9Y050","Arabidopsis","PQ-loop repeat family protein / transmembrane family protein","32, 969"
"119","P38279","Yeast","Vacuolar histidine transporter YPQ3","32"
"120","Q6ZP29","Human","Lysosomal amino acid transporter 1 homolog","32, 969"
"121","O80458","Arabidopsis","Dehydrodolichyl diphosphate synthase 1","33"
"122","P35196","Yeast","Dehydrodolichyl diphosphate synthase complex subunit RER2","33"
"123","Q56Y11","Arabidopsis","Dehydrodolichyl diphosphate synthase 2","33"
"124","Q570Q8","Arabidopsis","Dehydrodolichyl diphosphate synthase 5","33"
"125","Q86SQ9","Human","Dehydrodolichyl diphosphate synthase complex subunit DHDDS","33"
"126","Q8GY03","Arabidopsis","Dehydrodolichyl diphosphate synthase 4","33"
"127","Q8LAR7","Arabidopsis","Dehydrodolichyl diphosphate synthase 8","33"
"128","Q8LED0","Arabidopsis","Dehydrodolichyl diphosphate synthase 7","33"
"129","Q8RX73","Arabidopsis","Dehydrodolichyl diphosphate synthase 3","33"
"130","Q8S2T1","Arabidopsis","Dehydrodolichyl diphosphate synthase 6","33"
"131","O04005","Arabidopsis","1-Cys peroxiredoxin PER1","34"
"132","P30041","Human","Peroxiredoxin-6","34"
"133","P34227","Yeast","Peroxiredoxin PRX1, mitochondrial","34"
"134","A0A178VUM7","Arabidopsis","Methionine aminopeptidase 2","35"
"135","P38174","Yeast","Methionine aminopeptidase 2","35"
"136","P50579","Human","Methionine aminopeptidase 2","35"
"137","Q56Y85","Arabidopsis","Methionine aminopeptidase 2B","35"
"138","P38219","Yeast","Obg-like ATPase 1","36"
"139","Q9NTK5","Human","Obg-like ATPase 1","36"
"140","Q9SA73","Arabidopsis","Obg-like ATPase 1","36"
"141","P0CX82","Yeast","Large ribosomal subunit protein eL19A","37, 57"
"142","P49693","Arabidopsis","Large ribosomal subunit protein eL19y","37, 57"
"143","P84098","Human","Large ribosomal subunit protein eL19","37, 57"
"144","Q9LUQ6","Arabidopsis","Large ribosomal subunit protein eL19z","37, 57"
"145","Q9SRX2","Arabidopsis","Large ribosomal subunit protein eL19x","37, 57"
"146","P38340","Yeast","Alpha N-terminal protein methyltransferase 1","38"
"147","Q5PP70","Arabidopsis","Alpha N-terminal protein methyltransferase 1","38"
"148","Q9BV86","Human","N-terminal Xaa-Pro-Lys N-methyltransferase 1","38"
"149","P02994","Yeast","Elongation factor 1-alpha","39, 1020"
"150","P0DH99","Arabidopsis","Elongation factor 1-alpha 1","39, 1020"
"151","P68104","Human","Elongation factor 1-alpha 1","39, 1020"
"152","F4JR53","Arabidopsis","ARM repeat superfamily protein","40"
"153","O75691","Human","Small subunit processome component 20 homolog","40"
"154","P35194","Yeast","U3 small nucleolar RNA-associated protein 20","40"
"155","P38237","Yeast","Ubiquitin carboxyl-terminal hydrolase 14","41"
"156","P45974","Human","Ubiquitin carboxyl-terminal hydrolase 5","41"
"157","Q8L6Y1","Arabidopsis","Ubiquitin carboxyl-terminal hydrolase 14","41"
"158","Q92995","Human","Ubiquitin carboxyl-terminal hydrolase 13","41"
"159","P30260","Human","Cell division cycle protein 27 homolog","42"
"160","P38042","Yeast","Anaphase-promoting complex subunit CDC27","42"
"161","Q8LGU6","Arabidopsis","Cell division cycle protein 27 homolog B","42"
"162","P0CX41","Yeast","Large ribosomal subunit protein uL14A","43, 331"
"163","P49690","Arabidopsis","Large ribosomal subunit protein uL14x/uL14z/uL14y","43, 331"
"164","P62829","Human","Large ribosomal subunit protein uL14","43, 331"
"165","P38061","Yeast","Large ribosomal subunit protein eL32","44"
"166","P49211","Arabidopsis","Large ribosomal subunit protein eL32z","44"
"167","P62910","Human","Large ribosomal subunit protein eL32","44"
"168","Q9FHG2","Arabidopsis","Large ribosomal subunit protein eL32y","44"
"169","O23364","Arabidopsis","Putative serine carboxypeptidase-like 30","45, 763"
"170","P10619","Human","Lysosomal protective protein","45, 763"
"171","P32826","Arabidopsis","Serine carboxypeptidase-like 49","45, 763"
"172","P38109","Yeast","Vacuolar serine-type carboxypeptidase ATG42","45"
"173","Q56WF8","Arabidopsis","Serine carboxypeptidase-like 48","45, 763"
"174","Q84WF0","Arabidopsis","Serine carboxypeptidase-like 37","45, 763"
"175","Q93Y09","Arabidopsis","Serine carboxypeptidase-like 45","45, 763"
"176","Q9CAU1","Arabidopsis","Serine carboxypeptidase-like 3","45, 763"
"177","Q9FFB0","Arabidopsis","Serine carboxypeptidase-like 47","45, 763"
"178","Q9LSM9","Arabidopsis","Serine carboxypeptidase-like 33","45, 763"
"179","P16661","Yeast","Chitobiosyldiphosphodolichol beta-mannosyltransferase","46"
"180","Q8L7M0","Arabidopsis","UDP-glycosyltransferase TURAN","46"
"181","Q9BT22","Human","Chitobiosyldiphosphodolichol beta-mannosyltransferase","46"
"182","A0A178W250","Arabidopsis","Pyridoxal phosphate homeostasis protein","47"
"183","F4JVS4","Arabidopsis","Pyridoxal phosphate homeostasis protein","47"
"184","O94903","Human","Pyridoxal phosphate homeostasis protein","47"
"185","P38197","Yeast","Pyridoxal phosphate homeostasis protein","47"
"186","F4JLM5","Arabidopsis","Isoleucine--tRNA ligase, cytoplasmic","48"
"187","P09436","Yeast","Isoleucine--tRNA ligase, cytoplasmic","48"
"188","P41252","Human","Isoleucine--tRNA ligase, cytoplasmic","48"
"189","P05755","Yeast","Small ribosomal subunit protein uS4B","49"
"190","P46781","Human","Small ribosomal subunit protein uS4","49, 1024"
"191","Q9FLF0","Arabidopsis","Small ribosomal subunit protein uS4y","49, 1024"
"192","Q9LXG1","Arabidopsis","Small ribosomal subunit protein uS4z","49, 1024"
"193","P00817","Yeast","Inorganic pyrophosphatase","50"
"194","Q9H2U2","Human","Inorganic pyrophosphatase 2, mitochondrial","50"
"195","Q9LXC9","Arabidopsis","Soluble inorganic pyrophosphatase 6, chloroplastic","50"
"196","P20618","Human","Proteasome subunit beta type-1","51"
"197","P23724","Yeast","Proteasome subunit beta type-6","51"
"198","P42742","Arabidopsis","Proteasome subunit beta type-1","51"
"199","P38361","Yeast","Phosphate permease PHO89","52"
"200","Q38954","Arabidopsis","Inorganic phosphate transporter 2-1, chloroplastic","52"
"201","Q8WUM9","Human","Sodium-dependent phosphate transporter 1","52"
"202","P38203","Yeast","U6 snRNA-associated Sm-like protein LSm2","53"
"203","Q1H595","Arabidopsis","Sm-like protein LSM2","53"
"204","Q9Y333","Human","U6 snRNA-associated Sm-like protein LSm2","53"
"205","A0A654FX87","Arabidopsis","Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase","54"
"206","P38238","Yeast","tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase","54"
"207","Q9UET6","Human","tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase","54"
"208","A0A384LFM4","Arabidopsis","Trafficking protein particle complex subunit 2","55"
"209","P0DI81","Human","Trafficking protein particle complex subunit 2","55"
"210","P0DI82","Human","Trafficking protein particle complex subunit 2B","55"
"211","P38334","Yeast","Trafficking protein particle complex subunit 20","55"
"212","P38137","Yeast","Oxalate--CoA ligase","56"
"213","Q96CM8","Human","Medium-chain acyl-CoA ligase ACSF2, mitochondrial","56"
"214","Q9SMT7","Arabidopsis","Oxalate--CoA ligase","56"
"220","P33993","Human","DNA replication licensing factor MCM7","58"
"221","P38132","Yeast","DNA replication licensing factor MCM7","58"
"222","P43299","Arabidopsis","DNA replication licensing factor MCM7","58"
"223","P0CX39","Yeast","Small ribosomal subunit protein eS8A","59, 326"
"224","P62241","Human","Small ribosomal subunit protein eS8","59, 326"
"225","Q93VG5","Arabidopsis","Small ribosomal subunit protein eS8z","59, 326"
"226","Q9FIF3","Arabidopsis","Small ribosomal subunit protein eS8y","59, 326"
"227","P38205","Yeast","Multisite-specific tRNA:(cytosine-C(5))-methyltransferase","60"
"228","Q08J23","Human","RNA cytosine C(5)-methyltransferase NSUN2","60"
"229","Q8L601","Arabidopsis","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","60"
"230","P38067","Yeast","Succinate-semialdehyde dehydrogenase [NADP(+)]","61"
"231","P51649","Human","Succinate-semialdehyde dehydrogenase, mitochondrial","61"
"232","Q9SAK4","Arabidopsis","Succinate-semialdehyde dehydrogenase, mitochondrial","61"
"233","A0A1P8BG38","Arabidopsis","Glucose-6-phosphate isomerase","62"
"234","P06744","Human","Glucose-6-phosphate isomerase","62"
"235","P12709","Yeast","Glucose-6-phosphate isomerase","62"
"236","P38249","Yeast","Eukaryotic translation initiation factor 3 subunit A","63"
"237","Q14152","Human","Eukaryotic translation initiation factor 3 subunit A","63"
"238","Q9LD55","Arabidopsis","Eukaryotic translation initiation factor 3 subunit A","63"
"239","O14787","Human","Transportin-2","64"
"240","P38217","Yeast","Importin subunit beta-2","64"
"241","Q8H0U4","Arabidopsis","Transportin-1","64"
"242","Q92973","Human","Transportin-1","64"
"243","F4HPK7","Arabidopsis","DNA replication licensing factor MCM2","65"
"244","P29469","Yeast","DNA replication licensing factor MCM2","65"
"245","P49736","Human","DNA replication licensing factor MCM2","65"
"246","P04385","Yeast","Galactokinase","66"
"247","Q01415","Human","N-acetylgalactosamine kinase","66, 211"
"248","Q9SEE5","Arabidopsis","Galactokinase","66, 211"
"249","P11177","Human","Pyruvate dehydrogenase E1 component subunit beta, mitochondrial","67"
"250","P32473","Yeast","Pyruvate dehydrogenase E1 component subunit beta, mitochondrial","67"
"251","Q38799","Arabidopsis","Pyruvate dehydrogenase E1 component subunit beta-1, mitochondrial","67"
"252","O81098","Arabidopsis","DNA-directed RNA polymerases II and IV subunit 5A","68"
"253","P19388","Human","DNA-directed RNA polymerases I, II, and III subunit RPABC1","68"
"254","P20434","Yeast","DNA-directed RNA polymerases I, II, and III subunit RPABC1","68"
"255","O65569","Arabidopsis","Small ribosomal subunit protein uS17y","69, 164"
"256","P0CX47","Yeast","Small ribosomal subunit protein uS17A","69, 164"
"257","P16181","Arabidopsis","Small ribosomal subunit protein uS17z","69, 164"
"258","P42733","Arabidopsis","Small ribosomal subunit protein uS17x","69, 164"
"259","P62280","Human","Small ribosomal subunit protein uS17","69, 164"
"260","F4HXV6","Arabidopsis","Nuclear pore complex protein NUP155","70"
"261","O75694","Human","Nuclear pore complex protein Nup155","70"
"262","P38181","Yeast","Nucleoporin NUP170","70"
"263","O14744","Human","Protein arginine N-methyltransferase 5","71"
"264","P38274","Yeast","Protein arginine N-methyltransferase HSL7","71"
"265","Q8GWT4","Arabidopsis","Protein arginine N-methyltransferase 1.5","71"
"266","P38242","Yeast","UDP-N-acetylglucosamine transferase subunit ALG14","72"
"267","Q84R09","Arabidopsis","UDP-N-acetylglucosamine transferase subunit ALG14","72"
"268","Q96F25","Human","UDP-N-acetylglucosamine transferase subunit ALG14","72"
"269","P38129","Yeast","Transcription initiation factor TFIID subunit 5","73"
"270","Q15542","Human","Transcription initiation factor TFIID subunit 5","73"
"271","Q6S7B0","Arabidopsis","Transcription initiation factor TFIID subunit 5","73"
"272","O75688","Human","Protein phosphatase 1B","74"
"273","O81716","Arabidopsis","Probable protein phosphatase 2C 21","74"
"274","P34221","Yeast","Protein phosphatase 2C homolog 3","74"
"275","Q9SZ53","Arabidopsis","Probable protein phosphatase 2C 60","74"
"276","P07251","Yeast","ATP synthase subunit alpha, mitochondrial","75"
"277","P25705","Human","ATP synthase subunit alpha, mitochondrial","75"
"278","P92549","Arabidopsis","ATP synthase subunit alpha, mitochondrial","75"
"279","O48549","Arabidopsis","Small ribosomal subunit protein eS6z","76, 1012"
"280","P0CX37","Yeast","Small ribosomal subunit protein eS6A","76, 1012"
"281","P51430","Arabidopsis","Small ribosomal subunit protein eS6y","76, 1012"
"282","P62753","Human","Small ribosomal subunit protein eS6","76, 1012"
"283","P07902","Human","Galactose-1-phosphate uridylyltransferase","77"
"284","P08431","Yeast","Galactose-1-phosphate uridylyltransferase","77"
"285","Q9FK51","Arabidopsis","ADP-glucose phosphorylase","77"
"286","O43819","Human","Protein SCO2 homolog, mitochondrial","78"
"287","O75880","Human","Protein SCO1 homolog, mitochondrial","78"
"288","P23833","Yeast","Protein SCO1, mitochondrial","78"
"289","Q8LAL0","Arabidopsis","Protein SCO1 homolog 2, mitochondrial","78"
"290","A0A384KVY1","Arabidopsis","Diphthamide biosynthesis protein 3",""
"291","Q3E840","Yeast","Diphthamide biosynthesis protein 3",""
"292","Q96FX2","Human","Diphthamide biosynthesis protein 3",""
"293","O94906","Human","Pre-mRNA-processing factor 6","80"
"294","P19735","Yeast","Pre-mRNA-splicing factor 6","80"
"295","Q9ZT71","Arabidopsis","Protein STABILIZED1","80"
"296","P12004","Human","Proliferating cell nuclear antigen","81"
"297","P15873","Yeast","Proliferating cell nuclear antigen","81"
"298","Q9M7Q7","Arabidopsis","Proliferating cellular nuclear antigen 1","81"
"299","Q9ZW35","Arabidopsis","Proliferating cell nuclear antigen 2","81"
"300","F4JNY0","Arabidopsis","DNA-(apurinic or apyrimidinic site) endonuclease 2","82"
"301","P38207","Yeast","DNA-(apurinic or apyrimidinic site) endonuclease 2","82"
"302","Q9UBZ4","Human","DNA-(apurinic or apyrimidinic site) endonuclease 2","82"
"303","F5H0C7","Human","ADP ribosylation factor 3 (Fragment)","83, 953"
"304","P38116","Yeast","ADP-ribosylation factor-like protein 1","83"
"305","P40616","Human","ADP-ribosylation factor-like protein 1","83, 953"
"306","P40940","Arabidopsis","ADP-ribosylation factor 3","83"
"307","P38206","Yeast","Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1",""
"308","Q96AA3","Human","Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1",""
"309","P38170","Yeast","Condensin complex subunit 2","85"
"310","Q15003","Human","Condensin complex subunit 2","85"
"311","Q564K3","Arabidopsis","Condensin complex subunit 2","85"
"312","P38344","Yeast","Cytoplasmic 60S subunit biogenesis factor REI1","86"
"313","Q8H1G5","Arabidopsis","Cytoplasmic 60S subunit biogenesis factor REI1 homolog 1","86"
"314","Q969S3","Human","Cytoplasmic 60S subunit biogenesis factor ZNF622","86"
"315","Q9ZQ18","Arabidopsis","Cytoplasmic 60S subunit biogenesis factor REI1 homolog 2","86"
"316","P46778","Human","Large ribosomal subunit protein eL21","87, 1084"
"317","Q02753","Yeast","Large ribosomal subunit protein eL21A","87"
"318","Q43291","Arabidopsis","Large ribosomal subunit protein eL21z/eL21y","87, 1084"
"319","Q9FDZ9","Arabidopsis","Large ribosomal subunit protein eL21x/eL21w","87, 1084"
"320","P38301","Yeast","Divalent cation/proton antiporter GDT1","88"
"321","Q93Y38","Arabidopsis","GDT1-like protein 3","88"
"322","Q9C6M1","Arabidopsis","GDT1-like protein 4","88"
"323","Q9HC07","Human","Putative divalent cation/proton antiporter TMEM165","88"
"324","Q9SX28","Arabidopsis","GDT1-like protein 5","88"
"325","A0A1I9LSP8","Arabidopsis","Nuclear factor Y, subunit B10","89"
"326","P13434","Yeast","Transcriptional activator HAP3","89"
"327","Q9NRF9","Human","DNA polymerase epsilon subunit 3","89"
"328","P32602","Yeast","Alpha-soluble NSF attachment protein","90"
"329","P54920","Human","Alpha-soluble NSF attachment protein","90"
"330","Q9H115","Human","Beta-soluble NSF attachment protein","90"
"331","Q9SPE6","Arabidopsis","Alpha-soluble NSF attachment protein 2","90"
"332","P06367","Yeast","Small ribosomal subunit protein uS11A","91"
"333","P42036","Arabidopsis","Small ribosomal subunit protein uS11x","91, 598"
"334","P62263","Human","Small ribosomal subunit protein uS11","91, 598"
"335","Q9CAX6","Arabidopsis","Small ribosomal subunit protein uS11y","91, 598"
"336","Q9SIH0","Arabidopsis","Small ribosomal subunit protein uS11z","91, 598"
"337","P25555","Yeast","Serine/arginine (SR)-type shuttling mRNA binding protein GBP2","92"
"338","Q12926","Human","ELAV-like protein 2","92"
"339","Q15717","Human","ELAV-like protein 1","92"
"340","Q9FPJ8","Arabidopsis","Polyadenylate-binding protein RBP45A","92"
"341","A0A5F9ZHE0","Human","Phosphotransferase","93, 364, 420"
"342","P17709","Yeast","Glucokinase-1","93"
"343","P93834","Arabidopsis","Hexokinase-2","93, 364, 420"
"344","Q42525","Arabidopsis","Hexokinase-1","93, 364, 420"
"345","Q56XE8","Arabidopsis","Hexokinase-4","93, 364, 420"
"346","Q9FZG4","Arabidopsis","Hexokinase-like 1 protein","93, 364, 420"
"347","Q9LPS1","Arabidopsis","Hexokinase-3","93, 364, 420"
"348","Q9T071","Arabidopsis","Probable hexokinase-like 2 protein","93, 364, 420"
"349","A1A6H3","Arabidopsis","Ribokinase","94"
"350","P25332","Yeast","Ribokinase","94"
"351","Q9H477","Human","Ribokinase","94"
"352","A0A384L3G1","Arabidopsis","(thale cress) hypothetical protein","95"
"353","P25337","Yeast","Pre-mRNA-splicing factor BUD31","95"
"354","P41223","Human","Protein BUD31 homolog","95"
"355","O65607","Arabidopsis","DNA mismatch repair protein MSH3","96"
"356","P20585","Human","DNA mismatch repair protein Msh3","96"
"357","P25336","Yeast","DNA mismatch repair protein MSH3","96"
"358","A0A1I9LSJ6","Arabidopsis","Citrate synthase","97, 821"
"359","O75390","Human","Citrate synthase, mitochondrial","97, 821"
"360","P08679","Yeast","Citrate synthase, peroxisomal","97"
"361","P20115","Arabidopsis","Citrate synthase 4, mitochondrial","97, 821"
"362","A0A178UIZ9","Arabidopsis","KRR1 small subunit processome component","98"
"363","P25586","Yeast","KRR1 small subunit processome component","98"
"364","Q13601","Human","KRR1 small subunit processome component homolog","98"
"365","O15258","Human","Protein RER1","99"
"366","O48670","Arabidopsis","Protein RER1A","99"
"367","O48671","Arabidopsis","Protein RER1B","99"
"368","P25560","Yeast","Protein RER1","99"
"369","Q9ZWI7","Arabidopsis","Protein RER1C","99"
"370","F4JLV7","Arabidopsis","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","100"
"371","P15891","Yeast","Actin-binding protein","100"
"372","Q9UJU6","Human","Drebrin-like protein","100"
"373","O95336","Human","6-phosphogluconolactonase","101, 383, 493, 842"
"374","P37262","Yeast","6-phosphogluconolactonase-like protein 2","101"
"375","Q84WW2","Arabidopsis","6-phosphogluconolactonase 3, chloroplastic","101, 383, 493, 842"
"376","Q8LEV7","Arabidopsis","Probable 6-phosphogluconolactonase 5","101, 383, 493, 842"
"377","Q9LMX8","Arabidopsis","Probable 6-phosphogluconolactonase 1","101, 383, 493, 842"
"378","A0A1I9LRG2","Arabidopsis","Ubiquitin-conjugating enzyme/RWD-like protein","102"
"379","P25604","Yeast","Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease","102"
"380","Q99816","Human","Tumor susceptibility gene 101 protein","102"
"381","Q9FFY6","Arabidopsis","Protein ELC-like","102"
"382","P25382","Yeast","Ribosome assembly protein 4","103"
"383","Q9FLX9","Arabidopsis","Notchless protein homolog","103"
"384","Q9NVX2","Human","Notchless protein homolog 1","103"
